poll_agency,poll_agency_url,poll_dates,clinton_vs,trump_vs,lead
PPP (D),http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_51016.pdf,5/6 - 5/9,47,41,Clinton +6
CNN/ORC,http://i2.cdn.turner.com/cnn/2016/images/05/04/rel6b.-.2016.general.pdf,4/28 - 5/1,54,41,Clinton +13
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/trump_41_clinton_39,4/27 - 4/28,39,41,Trump +2
IBD/TIPP,http://www.investors.com/politics/trump-gains-ground-on-clinton-but-both-have-sky-high-negatives/,4/22 - 4/28,47,40,Clinton +7
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/questions/pt_survey_questions/april_2016/questions_clinton_trump_april_25_26_2016,4/25 - 4/26,38,38,Tie
USA Today/Suffolk,http://www.suffolk.edu/documents/SUPRC/4_25_2016_marginals.pdf,4/20 - 4/24,50,39,Clinton +11
GWU/Battleground,https://mediarelations.gwu.edu/americans-overwhelmingly-engaged-2016-election-tone-race-affecting-voters-new-gw-battleground-poll,4/17 - 4/20,46,43,Clinton +3
FOX News,http://www.foxnews.com/politics/interactive/2016/04/14/fox-news-poll-national-release-april-14-2016/,4/11 - 4/13,48,41,Clinton +7
NBC News/Wall St. Jrnl,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/16229%20NBCWSJ%20April%20Poll.pdf,4/10 - 4/14,50,39,Clinton +11
CBS News,http://www.cbsnews.com/news/cbs-poll-hillary-clinton-leads-donald-trump-but-voters-view-both-unfavorably/,4/8 - 4/12,50,40,Clinton +10
McClatchy/Marist,http://maristpoll.marist.edu/wp-content/misc/usapolls/us160329/MCC/General%20Election/McClatchy_Marist%20Poll_General%20Election__Complete%20Survey%20Findings_Nature%20of%20the%20Sample%20and%20Tables_April%202016.pdf,3/29 - 3/31,50,41,Clinton +9
IBD/TIPP,http://www.investors.com/wp-content/uploads/2016/04/Tables_Apr2016_Posting-1.pdf,3/28 - 4/2,47,35,Clinton +12
PPP (D),http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_33116.pdf,3/24 - 3/26,48,41,Clinton +7
FOX News,http://www.foxnews.com/politics/interactive/2016/03/23/fox-news-poll-national-general-election-32316/,3/20 - 3/22,49,38,Clinton +11
Bloomberg,http://www.bloomberg.com/politics/articles/2016-03-23/republicans-in-bloomberg-poll-not-sold-on-plan-to-stop-trump-im5c37sf,3/19 - 3/22,54,36,Clinton +18
Quinnipiac,http://www.quinnipiac.edu/images/polling/us/us03232016_Umk53pw.pdf,3/16 - 3/21,46,40,Clinton +6
CBS News/NY Times,http://www.cbsnews.com/news/donald-trump-and-hillary-clinton-viewed-unfavorably-by-majority-cbsnyt-poll/,3/17 - 3/20,50,40,Clinton +10
CNN/ORC,https://www.documentcloud.org/documents/2773296-rel5a-2016.html,3/17 - 3/20,53,41,Clinton +12
Monmouth,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/7714a05b-515f-4ad3-bdaa-e72a6e5f8e61.pdf,3/17 - 3/20,48,38,Clinton +10
ABC News/Wash Post,https://www.washingtonpost.com/politics/poll-clinton-leads-trump-aided-by-obama-coalition/2016/03/08/40dd6698-e575-11e5-b0fd-073d5930a7b7_story.html,3/3 - 3/6,50,41,Clinton +9
NBC News/Wall St. Jrnl,http://www.nbcnews.com/meet-the-press/how-trump-rubio-cruz-would-fare-against-clinton-november-n534191,3/3 - 3/6,51,38,Clinton +13
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/clinton_edges_ahead_of_trump_in_presidential_matchup,2/29 - 3/1,41,36,Clinton +5
CNN/ORC,http://www.cnn.com/2016/03/01/politics/donald-trump-hillary-clinton-bernie-sanders-poll/index.html,2/24 - 2/27,52,44,Clinton +8
FOX News,http://www.foxnews.com/politics/2016/02/18/fox-news-poll-clinton-still-way-ahead-in-south-carolina.html,2/15 - 2/17,47,42,Clinton +5
USA Today/Suffolk,http://www.usatoday.com/story/news/politics/elections/2016/02/17/usa-today-suffolk-poll-whos-more-electable/80452560/,2/11 - 2/15,43,45,Trump +2
Quinnipiac,http://www.quinnipiac.edu/images/polling/us/us02182016_Urpfd42.pdf,2/10 - 2/15,44,43,Clinton +1
Quinnipiac,http://www.quinnipiac.edu/images/polling/us/us02052016_Ust53w.pdf,2/2 - 2/4,46,41,Clinton +5
PPP (D),http://www.publicpolicypolling.com/pdf/2015/2016results.pdf,2/2 - 2/3,47,40,Clinton +7
NBC News/Wall St. Jrnl,https://www.scribd.com/doc/295919133/NBC-WSJ-January-Poll,1/9 - 1/13,51,41,Clinton +10
FOX News,http://www.foxnews.com/politics/interactive/2016/01/08/fox-news-poll-national-presidential-race-obama-ratings/,1/4 - 1/7,44,47,Trump +3
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/clinton_vs_trump_still_a_dead_heat,12/22 - 12/23,37,36,Clinton +1
CNN/ORC,http://i2.cdn.turner.com/cnn/2015/images/12/23/cnnpoll2.pdf,12/17 - 12/21,49,47,Clinton +2
Quinnipiac,http://www.quinnipiac.edu/images/polling/us/us12222015_Uhkm63g.pdf,12/16 - 12/20,47,40,Clinton +7
FOX News,http://www.foxnews.com/politics/interactive/2015/12/18/fox-news-poll-2016-gop-race-trump-muslim-ban-terrorism-isis/,12/16 - 12/17,49,38,Clinton +11
PPP (D),https://www.scribd.com/doc/293784795/Public-Policy-Polling-national-poll,12/16 - 12/17,46,43,Clinton +3
ABC News/Wash Post,http://www.langerresearch.com/wp-content/uploads/1174a2GOPElection.pdf,12/10 - 12/13,50,44,Clinton +6
NBC/WSJ,http://www.nbcnews.com/meet-the-press/nbc-poll-clinton-would-trounce-trump-lose-rubio-carson-n478676,12/6 - 12/9,50,40,Clinton +10
USA Today/Suffolk,http://www.usatoday.com/story/news/politics/elections/2015/12/08/poll-trump-cruz-rubio-clinton-sanders/76948760/,12/2 - 12/6,48,44,Clinton +4
CNN/ORC,http://www.cnn.com/2015/12/04/politics/hillary-clinton-republicans-head-to-head-poll/index.html,11/27 - 12/1,49,46,Clinton +3
Quinnipiac,http://www.quinnipiac.edu/images/polling/us/us12022015_U45hkpp.pdf,11/23 - 11/30,47,41,Clinton +6
MSNBC/Telemundo/Marist,http://www.nbcnews.com/meet-the-press/clinton-leads-2016-match-ups-carson-rubio-run-closest-n474591,11/15 - 12/2,52,41,Clinton +11
FOX News,http://www.foxnews.com/politics/interactive/2015/11/20/fox-news-poll-2016-matchups-syrian-refugees/,11/16 - 11/19,41,46,Trump +5
PPP (D),http://www.publicpolicypolling.com/main/2015/11/gop-has-clear-top-4-clinton-dominant-for-dems-general-election-tight.html#more,11/16 - 11/17,45,44,Clinton +1
McClatchy/Marist,http://www.mcclatchydc.com/news/politics-government/election/article43727049.ece/BINARY/Poll%20details,10/29 - 11/4,56,41,Clinton +15
Quinnipiac,http://www.quinnipiac.edu/images/polling/us/us11042015_xsq33a.pdf,10/29 - 11/2,46,43,Clinton +3
NBC News/Wall St. Jrnl,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15463%20NBCWSJ%20Late%20October%20Poll%20(4).pdf,10/25 - 10/29,50,42,Clinton +8
CNN/ORC,http://i2.cdn.turner.com/cnn/2015/images/10/18/democrats.pdf,10/14 - 10/17,50,45,Clinton +5
FOX News,http://www.foxnews.com/politics/interactive/2015/10/13/fox-news-poll-biden-more-electable-than-clinton/,10/10 - 10/12,40,45,Trump +5
PPP (D),http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NationalGOP_100615.pdf,10/1 - 10/4,44,44,Tie
NBC News/Wall St. Jrnl,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15398%20NBCWSJ%20September%20Poll%20(2).pdf,9/20 - 9/24,49,39,Clinton +10
FOX News,http://www.foxnews.com/politics/interactive/2015/09/23/fox-news-poll-2016-election-pope-francis-popularity/,9/20 - 9/22,46,42,Clinton +4
Quinnipiac,http://www.quinnipiac.edu/images/polling/us/us09242015_ui47mfb.pdf,9/17 - 9/21,45,43,Clinton +2
ABC News/Wash Post,http://abcnews.go.com/Politics/insider-outsider-matchup-finds-clinton-trump/story?id=33689594,9/7 - 9/10,46,43,Clinton +3
CNN/ORC,http://i2.cdn.turner.com/cnn/2015/images/09/10/demsclinton.pdf,9/4 - 9/8,48,48,Tie
MSNBC/Telemundo/Marist,http://www.msnbc.com/msnbc/poll-democrats-claim-resounding-latino-support-over-gop,8/26 - 9/9,53,40,Clinton +13
SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=d950cadf-05ce-4148-a125-35c0cdab26c6,9/2 - 9/3,40,45,Trump +5
PPP (D),http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_90315.pdf,8/28 - 8/30,46,44,Clinton +2
Quinnipiac,http://www.quinnipiac.edu/images/polling/us/us08272015_Ueg38d.pdf,8/20 - 8/25,45,41,Clinton +4
CNN/ORC,http://i2.cdn.turner.com/cnn/2015/images/08/18/rel8b.-.democrats.2016.pdf,8/13 - 8/16,51,45,Clinton +6
FOX News,http://www.foxnews.com/politics/interactive/2015/08/14/fox-news-poll-sanders-gains-on-clinton/,8/11 - 8/13,47,42,Clinton +5
Quinnipiac,http://www.quinnipiac.edu/images/polling/us/us07302015_U645de.pdf,7/23 - 7/28,48,36,Clinton +12
McClatchy/Marist,http://maristpoll.marist.edu/wp-content/misc/usapolls/us150722/2016July/Complete%20July%202015%20McClatchy_Marist%20Poll_2016_Tables.pdf#page=1,7/22 - 7/28,54,38,Clinton +16
CNN/Opinion Research,https://www.documentcloud.org/documents/2179399-cnn-orc-poll-2016-election-9-a-m-july-26-2015.html,7/22 - 7/25,56,40,Clinton +16
PPP (D),http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_72215.pdf,7/20 - 7/21,50,37,Clinton +13
USA Today/Suffolk,https://www.suffolk.edu/documents/SUPRC/7_14_2015_marginals.pdf,7/9 - 7/12,51,34,Clinton +17
CNN/Opinion Research,http://i2.cdn.turner.com/cnn/2015/images/06/30/trumpbushclinton.pdf,6/26 - 6/28,59,35,Clinton +24
FOX News,http://www.foxnews.com/politics/interactive/2015/06/24/0624152016iranweb/,6/21 - 6/23,51,34,Clinton +17
Quinnipiac,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2228,5/19 - 5/26,50,32,Clinton +18
